age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome
53,technician,married,tertiary,no,4323,yes,no,,15,may,58,5,-1,0,
32,management,single,tertiary,no,574,yes,no,cellular,20,nov,171,1,127,2,failure
60,admin.,married,,no,478,no,no,cellular,11,sep,324,8,-1,0,
30,services,married,secondary,no,253,yes,no,cellular,5,may,235,2,-1,0,
35,admin.,divorced,secondary,no,579,yes,no,,23,may,250,3,-1,0,
33,technician,single,secondary,no,374,yes,yes,,2,jun,185,1,-1,0,
33,admin.,single,secondary,no,1779,yes,no,,21,may,175,2,-1,0,
44,blue-collar,married,primary,no,-237,yes,no,telephone,10,jul,73,1,-1,0,
57,blue-collar,married,secondary,no,1412,yes,no,cellular,9,apr,89,1,330,1,failure
29,self-employed,single,tertiary,no,16,yes,no,,6,may,43,1,-1,0,
52,unemployed,married,primary,no,255,no,yes,cellular,10,jul,374,3,-1,0,
55,management,single,tertiary,no,797,no,no,cellular,29,jul,24,2,-1,0,
49,blue-collar,married,secondary,no,2631,yes,no,,14,may,76,2,-1,0,
47,housemaid,married,secondary,no,4397,yes,no,cellular,25,jul,110,1,-1,0,
27,admin.,single,secondary,no,-550,yes,no,cellular,9,feb,176,3,195,15,other
38,blue-collar,single,primary,no,199,yes,no,,27,may,268,4,-1,0,
39,management,married,tertiary,no,1654,no,yes,cellular,21,nov,151,1,-1,0,
52,housemaid,married,secondary,no,1752,no,yes,telephone,21,nov,346,4,123,8,failure
40,services,married,primary,no,3559,yes,no,,20,may,138,8,-1,0,
41,blue-collar,single,secondary,no,277,yes,no,,7,may,2177,4,-1,0,
45,blue-collar,married,secondary,no,61,yes,yes,,23,may,208,1,-1,0,
54,self-employed,divorced,secondary,no,1016,yes,no,cellular,21,nov,643,3,-1,0,
57,management,married,tertiary,no,1172,no,no,cellular,19,nov,164,3,-1,0,
26,admin.,single,secondary,no,-235,yes,no,,16,may,103,1,-1,0,
57,management,married,tertiary,no,215,no,yes,cellular,23,jul,288,9,-1,0,
39,services,married,secondary,no,1442,no,no,cellular,22,apr,70,3,-1,0,
43,blue-collar,married,secondary,no,1437,yes,no,cellular,14,may,94,1,-1,0,
32,management,single,tertiary,no,4,yes,no,,9,may,179,2,-1,0,
47,unemployed,divorced,secondary,no,947,no,no,cellular,5,feb,124,2,-1,0,
30,services,married,secondary,no,637,yes,no,cellular,15,may,69,5,-1,0,
30,management,married,tertiary,no,14,no,no,cellular,24,jul,90,2,-1,0,
50,management,married,tertiary,no,5108,yes,no,cellular,19,jun,140,2,-1,0,
59,blue-collar,married,secondary,yes,-918,yes,no,,16,jun,253,2,-1,0,
36,management,single,tertiary,no,419,no,no,cellular,12,aug,122,2,-1,0,
41,blue-collar,married,secondary,no,-194,no,yes,cellular,10,jul,307,1,-1,0,
31,blue-collar,single,secondary,no,4,no,no,cellular,16,apr,148,2,182,3,other
27,admin.,single,tertiary,no,1993,yes,no,cellular,5,may,102,5,-1,0,
28,management,married,tertiary,no,3516,no,no,cellular,17,jul,232,1,-1,0,
30,management,single,tertiary,no,358,yes,no,,19,may,88,51,-1,0,
59,admin.,married,secondary,no,-396,yes,no,,26,may,204,1,-1,0,
33,services,married,secondary,no,210,yes,yes,,20,may,201,1,-1,0,
37,management,married,tertiary,no,15437,yes,no,cellular,10,jul,123,1,-1,0,
36,technician,single,secondary,no,129,yes,no,,20,jun,200,7,-1,0,
40,blue-collar,single,secondary,no,3571,yes,no,cellular,10,jul,262,1,-1,0,
52,services,divorced,secondary,no,2455,no,no,cellular,25,jul,289,1,-1,0,
34,admin.,single,secondary,no,239,no,no,,5,oct,6,1,-1,0,
46,management,married,tertiary,no,4301,yes,yes,cellular,18,nov,50,1,183,2,failure
41,management,divorced,tertiary,no,107,yes,no,cellular,17,jul,122,17,-1,0,
37,blue-collar,married,primary,no,-29,yes,yes,cellular,15,may,25,1,350,5,other
55,management,married,secondary,no,0,no,no,,18,jun,324,2,-1,0,
25,admin.,single,secondary,no,53,yes,no,cellular,12,may,213,6,-1,0,
51,technician,married,secondary,no,-192,yes,no,telephone,11,jul,57,1,-1,0,
48,management,married,,no,598,no,no,,9,jun,152,2,-1,0,
29,technician,single,secondary,no,1706,yes,no,cellular,18,jul,462,2,-1,0,
57,blue-collar,married,primary,no,403,yes,no,telephone,17,feb,63,2,-1,0,
42,housemaid,married,primary,no,145,no,no,cellular,20,aug,252,2,-1,0,
38,blue-collar,married,secondary,no,638,yes,no,telephone,6,may,90,2,-1,0,
52,retired,married,secondary,no,414,no,no,cellular,28,jan,207,3,-1,0,
35,admin.,single,secondary,no,-133,yes,no,cellular,14,may,546,3,-1,0,
25,services,married,secondary,no,4063,yes,no,,27,may,64,1,-1,0,
39,services,single,primary,no,4453,yes,no,cellular,10,jul,156,1,-1,0,
57,admin.,married,secondary,no,2087,yes,no,cellular,20,apr,140,4,343,1,failure
55,management,married,tertiary,no,1161,yes,no,cellular,20,nov,8,6,-1,0,
45,unemployed,married,,no,490,yes,no,cellular,5,feb,776,3,-1,0,
52,blue-collar,married,primary,no,230,yes,no,cellular,6,may,198,2,170,2,failure
55,entrepreneur,divorced,primary,no,29,no,no,,16,jun,500,1,-1,0,
54,management,married,tertiary,no,588,no,no,cellular,13,aug,327,1,-1,0,
32,blue-collar,married,primary,no,104,yes,no,cellular,25,jul,211,3,-1,0,
32,blue-collar,married,secondary,no,23,yes,no,,16,may,77,1,-1,0,
45,admin.,married,secondary,no,-183,yes,no,,16,may,215,3,-1,0,
38,admin.,married,tertiary,no,342,yes,no,,4,jun,1138,1,-1,0,
48,self-employed,married,tertiary,no,1223,yes,no,cellular,4,feb,193,1,-1,0,
53,retired,divorced,secondary,no,451,no,yes,cellular,11,aug,277,5,-1,0,
37,management,single,tertiary,no,876,yes,no,cellular,15,apr,140,4,327,2,failure
59,management,single,secondary,no,671,yes,yes,,15,may,157,5,-1,0,
48,management,married,primary,no,2803,yes,no,,6,jun,30,24,-1,0,
37,blue-collar,married,secondary,no,949,yes,no,cellular,15,may,302,1,-1,0,
52,management,married,tertiary,no,1209,no,no,cellular,8,aug,97,4,-1,0,
33,management,single,tertiary,no,3170,no,no,cellular,28,oct,246,2,-1,0,
46,admin.,married,secondary,no,4958,yes,no,cellular,17,nov,64,3,150,5,other
29,blue-collar,single,secondary,no,1550,yes,yes,cellular,13,may,228,3,-1,0,
32,technician,married,secondary,no,79,yes,no,cellular,25,aug,417,4,-1,0,
48,admin.,married,secondary,no,-160,no,yes,cellular,28,jul,84,3,-1,0,
54,unemployed,married,secondary,no,3250,no,no,cellular,31,jul,94,3,-1,0,
49,self-employed,married,tertiary,no,2143,no,no,cellular,20,nov,226,3,-1,0,
40,management,single,tertiary,no,1393,yes,no,,21,may,20,8,-1,0,
39,management,divorced,,no,401,no,no,,6,jun,126,1,-1,0,
44,services,married,secondary,no,1106,yes,no,telephone,23,jul,239,11,-1,0,
30,technician,married,secondary,no,764,no,no,,26,may,150,2,-1,0,
33,technician,single,secondary,no,827,yes,no,cellular,12,aug,58,4,-1,0,
42,blue-collar,single,primary,no,134,yes,yes,,8,may,82,1,-1,0,
24,student,single,secondary,no,228,no,no,cellular,2,jun,154,1,-1,0,
32,management,single,tertiary,no,123,no,no,telephone,29,aug,63,11,-1,0,
46,admin.,married,primary,no,-335,yes,no,,3,jun,272,1,-1,0,
25,blue-collar,married,secondary,no,-306,yes,no,,20,jun,534,3,-1,0,
38,management,married,tertiary,no,126,yes,no,,21,may,164,2,-1,0,
32,blue-collar,single,primary,no,2829,yes,no,cellular,5,may,26,1,-1,0,
33,entrepreneur,married,tertiary,no,775,yes,yes,cellular,30,jul,60,3,-1,0,
56,blue-collar,married,secondary,no,2395,no,no,cellular,12,aug,150,2,-1,0,
36,management,single,tertiary,no,624,yes,no,,6,jun,141,3,-1,0,
32,technician,married,secondary,no,-684,yes,no,cellular,13,may,11,8,299,3,other
35,admin.,single,secondary,no,1537,yes,no,cellular,5,may,84,5,-1,0,
59,retired,married,primary,no,41,yes,yes,,21,may,717,3,-1,0,
31,management,married,tertiary,no,256,yes,no,cellular,7,jul,28,24,-1,0,
46,management,divorced,tertiary,no,25,no,no,,17,jun,564,2,-1,0,
37,admin.,divorced,tertiary,no,43,yes,no,cellular,30,jul,65,2,-1,0,
56,technician,married,tertiary,no,1663,no,no,,19,jun,22,1,-1,0,
35,blue-collar,divorced,primary,no,0,no,no,,1,jul,55,1,-1,0,
46,admin.,married,secondary,no,0,no,no,cellular,5,aug,109,1,-1,0,
34,technician,single,tertiary,no,651,no,no,cellular,3,feb,351,3,-1,0,
51,blue-collar,married,tertiary,no,2404,yes,no,telephone,20,nov,30,1,-1,0,
37,services,married,secondary,no,345,yes,yes,cellular,16,apr,114,1,148,1,failure
58,services,married,secondary,no,1667,yes,yes,,6,may,85,1,-1,0,
29,technician,married,secondary,no,0,yes,no,cellular,28,jul,83,6,-1,0,
35,technician,married,secondary,no,1057,yes,no,cellular,21,jul,144,2,-1,0,
35,blue-collar,single,,no,484,no,no,cellular,12,apr,143,2,186,1,failure
26,student,single,secondary,no,0,no,no,cellular,27,may,107,2,-1,0,
28,student,single,tertiary,no,737,yes,no,,27,may,125,1,-1,0,
33,admin.,married,secondary,no,394,yes,no,telephone,1,sep,104,3,-1,0,
34,services,married,secondary,no,0,no,no,cellular,7,jul,160,3,-1,0,
79,retired,married,secondary,no,723,no,no,telephone,22,jun,295,3,-1,0,
33,services,single,secondary,no,100,yes,no,cellular,14,may,11,8,297,7,other
35,blue-collar,divorced,secondary,no,105,yes,yes,,28,may,118,1,-1,0,
43,blue-collar,married,secondary,no,2374,no,no,cellular,20,apr,316,2,264,2,failure
34,management,married,secondary,no,42,no,no,cellular,22,aug,82,3,-1,0,
31,admin.,married,secondary,no,5,no,no,,16,may,102,1,-1,0,
35,management,single,tertiary,no,0,no,no,cellular,18,aug,276,5,-1,0,
33,self-employed,married,tertiary,no,3064,no,no,cellular,20,nov,309,1,-1,0,
58,management,married,tertiary,no,0,yes,no,cellular,18,nov,265,1,188,1,failure
26,self-employed,single,tertiary,no,50,no,no,cellular,30,jul,160,4,-1,0,
43,management,married,secondary,no,452,yes,no,,16,may,107,2,-1,0,
35,blue-collar,married,secondary,no,11,no,no,,3,jun,32,3,-1,0,
60,retired,divorced,secondary,no,598,no,yes,cellular,8,jul,96,1,-1,0,
46,management,married,tertiary,yes,-1001,yes,no,cellular,21,nov,45,3,-1,0,
57,retired,married,tertiary,no,53,no,no,telephone,29,jul,539,2,-1,0,
56,blue-collar,married,primary,no,2324,yes,no,telephone,19,aug,132,4,-1,0,
55,technician,married,secondary,no,0,yes,no,,30,may,119,2,-1,0,
32,management,married,tertiary,no,0,no,no,cellular,29,aug,183,2,-1,0,
37,self-employed,married,secondary,no,2203,no,yes,cellular,5,feb,9,8,-1,0,
50,blue-collar,divorced,primary,no,-232,yes,no,,19,jun,168,1,-1,0,
26,admin.,single,secondary,no,338,no,no,cellular,29,jan,245,1,92,3,success
19,student,single,primary,no,103,no,no,cellular,15,oct,96,2,97,2,success
53,blue-collar,married,primary,no,-294,yes,yes,cellular,31,jul,10,22,-1,0,
33,technician,divorced,secondary,no,3,no,no,cellular,4,feb,222,1,-1,0,
28,management,single,tertiary,no,1069,no,no,,28,may,675,1,-1,0,
56,blue-collar,divorced,secondary,no,9898,yes,no,cellular,21,nov,147,3,-1,0,
38,management,single,tertiary,no,6490,no,no,telephone,10,nov,125,1,-1,0,
43,management,married,tertiary,no,2083,no,no,cellular,21,nov,120,2,-1,0,
38,management,married,tertiary,no,162,yes,no,cellular,21,nov,143,1,-1,0,
51,blue-collar,married,primary,no,4712,no,no,telephone,20,nov,172,2,-1,0,
37,housemaid,married,,no,3075,no,no,,20,jun,29,3,-1,0,
39,blue-collar,married,primary,no,315,yes,no,cellular,15,may,259,3,353,3,failure
45,entrepreneur,married,tertiary,no,1,no,no,cellular,19,nov,401,1,-1,0,
53,admin.,single,primary,no,0,yes,no,cellular,17,jul,155,6,-1,0,
29,technician,single,tertiary,no,0,yes,no,,7,may,104,2,-1,0,
43,entrepreneur,married,primary,no,526,yes,no,,7,may,79,4,-1,0,
37,admin.,single,secondary,no,0,yes,no,,29,may,147,4,-1,0,
41,services,married,secondary,no,1319,yes,no,cellular,11,may,305,1,-1,0,
30,management,married,secondary,yes,471,yes,no,cellular,26,aug,73,4,-1,0,
48,admin.,married,secondary,no,-509,no,yes,cellular,8,jul,302,3,-1,0,
45,management,divorced,tertiary,no,6269,yes,no,cellular,29,jul,20,2,-1,0,
43,management,married,tertiary,no,-69,yes,no,,26,may,48,2,-1,0,
40,admin.,married,tertiary,no,10035,no,no,,9,jun,29,1,-1,0,
56,management,married,tertiary,no,-762,yes,yes,cellular,11,jul,348,2,-1,0,
32,technician,married,secondary,no,381,yes,no,,2,jun,347,2,-1,0,
45,blue-collar,married,secondary,no,1778,yes,no,cellular,4,feb,41,1,251,5,failure
39,management,married,secondary,no,1410,yes,no,,23,may,55,1,-1,0,
48,blue-collar,married,primary,no,-254,yes,no,cellular,7,may,210,2,346,1,other
54,admin.,married,secondary,no,111,no,no,cellular,28,aug,29,13,-1,0,
31,technician,married,tertiary,no,313,yes,no,cellular,27,aug,114,2,-1,0,
42,admin.,married,secondary,no,0,yes,yes,cellular,20,apr,58,4,-1,0,
34,technician,single,secondary,no,232,no,no,cellular,7,jul,130,1,-1,0,
37,technician,single,tertiary,no,876,yes,no,,23,may,213,4,-1,0,
54,housemaid,married,,no,0,no,no,cellular,6,aug,189,2,-1,0,
59,blue-collar,married,primary,no,4143,no,no,,19,jun,122,1,-1,0,
54,admin.,married,secondary,no,1279,yes,yes,cellular,28,jan,102,2,-1,0,
32,management,married,tertiary,no,710,yes,no,cellular,17,jul,181,2,-1,0,
48,management,single,secondary,no,7,no,no,cellular,4,feb,191,1,-1,0,
48,blue-collar,divorced,primary,no,338,yes,no,,21,may,38,12,-1,0,
35,technician,single,tertiary,no,2288,no,no,telephone,28,may,32,2,-1,0,
52,housemaid,married,secondary,no,234,no,no,cellular,20,nov,208,1,-1,0,
32,admin.,single,tertiary,no,211,no,no,cellular,28,aug,56,7,-1,0,
58,blue-collar,married,secondary,no,1075,yes,no,cellular,18,may,42,1,-1,0,
26,student,single,tertiary,no,1570,yes,no,,23,may,81,1,-1,0,
53,management,married,tertiary,no,-388,yes,no,cellular,14,may,111,3,356,1,other
70,management,married,tertiary,no,5563,no,no,cellular,6,feb,146,1,-1,0,
48,blue-collar,single,primary,no,1080,yes,no,,16,jun,112,3,-1,0,
26,services,single,tertiary,no,238,yes,no,cellular,22,jul,156,3,-1,0,
51,technician,married,tertiary,no,7338,no,no,cellular,18,nov,82,1,-1,0,
26,services,married,secondary,no,611,yes,no,,29,may,177,2,-1,0,
52,technician,married,secondary,no,383,no,yes,cellular,18,jul,135,1,-1,0,
46,admin.,married,secondary,no,739,yes,no,cellular,23,jul,250,1,-1,0,
28,management,married,secondary,no,3,yes,no,cellular,14,sep,112,2,24,2,other
27,technician,married,secondary,no,1577,yes,yes,,28,may,266,2,-1,0,
81,retired,divorced,tertiary,no,0,no,no,cellular,14,jan,357,1,-1,0,
51,blue-collar,married,primary,no,-1,no,no,,28,may,110,8,-1,0,
37,admin.,married,primary,no,188,yes,no,cellular,17,apr,153,1,-1,0,
32,student,married,tertiary,no,744,yes,no,cellular,14,may,506,2,352,1,other
33,management,single,tertiary,no,28,yes,no,,21,may,237,2,-1,0,
36,management,married,tertiary,no,222,yes,no,cellular,6,may,317,1,169,2,failure
51,management,married,tertiary,no,0,yes,no,cellular,22,may,168,1,-1,0,
51,blue-collar,married,secondary,no,0,yes,yes,cellular,22,jul,124,2,-1,0,
30,management,single,tertiary,no,11278,no,no,cellular,4,may,256,3,-1,0,
55,management,married,tertiary,no,0,no,no,cellular,22,aug,64,2,-1,0,
47,blue-collar,married,primary,no,300,yes,no,,13,may,103,3,-1,0,
51,management,married,secondary,no,2216,yes,yes,,16,jun,95,8,-1,0,
51,services,married,secondary,no,-437,no,yes,cellular,30,jul,130,3,-1,0,
44,services,divorced,secondary,no,496,yes,yes,,29,may,54,15,-1,0,
43,technician,divorced,secondary,no,1612,no,no,cellular,28,aug,119,2,95,3,success
34,blue-collar,married,secondary,no,2700,yes,no,,20,may,446,2,-1,0,
45,management,single,tertiary,no,997,no,yes,cellular,19,nov,152,1,-1,0,
57,housemaid,married,primary,no,151,yes,no,cellular,18,may,14,4,-1,0,
83,retired,married,tertiary,no,4761,no,no,telephone,9,jun,294,2,93,1,success
33,blue-collar,married,primary,no,463,yes,no,,23,may,230,1,-1,0,
35,services,single,secondary,no,0,yes,no,cellular,13,may,419,2,-1,0,
31,services,married,secondary,no,388,yes,no,,5,may,730,2,-1,0,
53,retired,married,primary,no,61,no,yes,cellular,10,jul,190,1,-1,0,
39,management,married,tertiary,no,0,yes,no,,3,jun,164,2,-1,0,
46,management,married,tertiary,no,0,yes,no,cellular,1,jun,87,2,-1,0,
32,admin.,married,tertiary,no,157,no,no,cellular,27,aug,300,4,-1,0,
46,management,married,tertiary,no,110,yes,yes,cellular,20,aug,243,5,-1,0,
28,blue-collar,single,secondary,no,43,no,no,,19,may,190,1,-1,0,
32,technician,single,secondary,no,234,no,no,cellular,27,mar,166,2,-1,0,
29,blue-collar,married,primary,no,0,yes,no,,13,may,53,1,-1,0,
39,technician,single,tertiary,no,47,yes,no,,5,may,181,1,-1,0,
26,management,married,tertiary,no,877,yes,no,cellular,22,jul,611,1,-1,0,
33,management,married,secondary,no,4385,no,yes,cellular,4,jul,92,1,-1,0,
41,technician,married,secondary,no,2125,yes,yes,cellular,21,nov,285,3,116,4,failure
38,services,married,secondary,no,5,no,no,,5,jun,115,2,-1,0,
33,management,single,tertiary,no,8514,no,no,cellular,16,oct,165,1,57,1,failure
45,entrepreneur,married,secondary,no,245,yes,no,,14,may,126,3,-1,0,
45,blue-collar,married,secondary,no,4022,yes,no,cellular,29,jan,244,3,-1,0,
28,management,single,tertiary,no,150,yes,no,,8,may,491,1,-1,0,
